Clean Plaintiff,Plaintiff Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TRENTON ANESTOLGY ASSOC,Medical,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30 WEST DENTAL ASSOC,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MARSH ANIMAL HOSPITA L,Misc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADIOLOGY ASSOC OF D ELAWARE V A,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BUMMIT OAKS HOSPITAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HILLSIDE ANIMAL HOSPITAL,Misc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DIAGNOSTIC IMAGING A SSOC/CASP E,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SOUTHERN OCEAN COUNT Y HOSPITA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RAHWAY ANESTHESIOLOG ISTS P.A,Medical,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SOUTH JERSEY RADIOLO GY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARKVIEW ORTHOPEDIC ASSOC,Medical,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
WEST CALDWELL DENTAL,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NEW JERSEY ANESTHEST HESIA UNI N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OVERLOOK HOSPITAL DE NTAL CARE,Medical,0,0,1,0,0,2,0,1,0,0,0,1,3,0,0,0
EMPIRE DENTAL PC,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EAST ORANGE HOSPITAL,Medical,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
EMERSON DENTAL ASSOC IATES,Medical,0,0,0,0,2,0,1,2,0,0,0,2,1,0,0,0
COLUMBUS HOSPITAL NEW,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNITY DENTAL HEALTH SVCS P.A.,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MULTI CARE AMBULANCE SVC.,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKYLANDS MEDICAL GRO UP, PA",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SELECT ANESTHESIA & PAIN MGM T,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NAOR DENTAL LAB INC,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DENTAL HEALTH ASSOCI ATES,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HIGHLAND PARK MEDICA L ASSO,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HOSPITAL RADIOLOGIST,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VERNON DENTAL,Medical,0,1,4,1,1,0,0,0,0,2,1,2,0,2,0,0
NORTHERN NJ ANESTHEI,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HUNTERDON MEDICAL CTR,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SO ORANGE MEDICAL,Medical,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONMOUTH MEDICAL ASS OC,Medical,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0
CAPE MAY COURT HOUSE RADIOLOG Y,Medical,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ORTHOPEDIC SPECIALIS TS NJ PA,Medical,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ADVANCED ORTHO HAND SURGERY P A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTHFIELD SURGICAL ASSO PA,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUMC ANESTHESIA,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL IMAGING IMCO INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MORRIS IMAGING ASICI ATES II,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IMAGING CENTER AT LL C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SILVER RIDGE DENTAL,Medical,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
SUMMIT AVE MEDICAL,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUDSON RADIOLOGY CEN,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SALL/MYERS MEDICAL A SSOCIATES,Medical,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0
HAMILTON PARK HEALTH CARE CEN T,Medical,0,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0
SJ HOSPITAL GRP ANES THESIA,Medical,0,0,0,0,0,1,6,1,4,0,0,0,0,0,0,0
DIAGNOSTIC REHABILIT ATION SPE C,Medical,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
MEDICAL CNTR. AT WIL LOWBROOK,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MID-JERSEY ANESTHESI ASSOCIATE,Medical,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL BILLING ASSO CIATIONS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COLUMBIA UNIV MED CT R ANESTHE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEUROSURGICAL GRP CH ATHAM,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIRWAY MEDICAL SER/ ROBINSON,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EASTERN DENTAL OF EW ING,Medical,0,0,0,0,1,1,4,3,8,15,28,5,1,2,0,0
HARMONY DENTAL CARE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FREEDOM MEDICAL SUPP /C. MORTO N,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HEALTH CARE INFO SER VICE INC,Medical,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JURBRUGG HOSPITAL,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOULEVARD DENTAL ASS OC PA,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEDICAL TRANSPORTAIO N SYS INC,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WESTWOOD ANESTHESIA ASSO.,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RAHWAY ANESTHESIA AS SOC,Medical,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT & FACIAL PLASTIC SURGERY A S,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HASKENSACK UNIVERSIT Y MEDICAL,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WEATHERBY HEALTH CAR E,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHERRY HOLL ORTHOPED IC,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CENTR FOR DENTAL & ORAL HLTH,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EASTERN ORTHOPEDICAS,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LARCHMONT IMAGING/VE RDERAME,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALLCARE MEDICAL AND REHAB GRP,Medical,0,0,0,0,0,0,0,28,24,7,0,0,1,1,0,0
ALLCARE MEDICAL & PA IN MANAGE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
RADIOLOGY ASSOC & RA HWAY,Medical,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH JERSEY DIAGNOS TIC CENTE R,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
C & H MEDICAL SUPPLY,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MANFREDI SURGICAL &,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HEALTH MEDICAL REHAB CTR,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AMERICAN IMAGING OF JERSEY CI,Medical,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
EASTERN DENTAL CTR OF WB,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CLARA BARTON CARDIO MEDICAL,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAGNOSTIC IMAGING O F NJ PC,Medical,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0
CHANGEBRIDGE MEDICAL ASSOC,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
MILLENNIUM ANESTHESI A ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
MIDDLESEX SURGICAL SUPLY INC,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERAL HOSPITAL CEN T. PASSAI C,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVID ORTHOPAEDIC AS SOC PA,Medical,0,0,0,0,1,1,8,1,0,0,0,0,0,0,0,0
SOUTH JERSEY MEDICAL EQUIPMENT,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PENNINGTON DENTAL AS SOCIATES,Medical,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SADDLE BROOK SURGIC CENTER IN C,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHARLIN RADIOLOGY AS SOC PA,Medical,0,1,2,3,9,4,20,1,0,0,0,0,0,0,0,0
AMBULATORY SYRGICAL CENTER UN C,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SPECTRUM MEDICAL ASS OCIATES L L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLANTIC ANESTHESIA AND PAIN,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ORTHOPEDIC & JOINT R ECONSTURC T,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HORN DENTAL LLP ASSO CS,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COOPER HOSPITAL UNIV MED CTR,Medical,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0
MID-ATLANTIC ORTHOPA EDIC ASSO C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TRINITAS DIAGNOSTIC IMAGIN,Medical,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
MONTVILE ORAL SURGER Y ASSOCIA T,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRINCETON ANESTHESIA SVS,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HERSEY SHORE SURGICA L GROUP,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MONARCH ANESTHESIA O F JERSEY C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIVERVIES MEDICAL CE NTER,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
INNOVATIVE AMBULATRY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DOCTORS RADIOLOGY,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MANN MEDICAL SEARCH INC.,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LIBERTY ANESTHESIA P AIN MANAG,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN IMAGING OF IC,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SALEM SURGICAL CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KINGSTON MEDICAL PRA CTICE/WEB E,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N.J VEIN&COSMETIC SURGERY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HAMILTON ORTHOPDIC ASSOC PA,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPE MAY COURT HOUSE RADIOLOGY,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNIVERSTIY RADIOLOGY GRP,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RIVER DRIVE SURGERY & LASER,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
THE PLASTIC SURGERY CNTR,Medical,0,0,0,0,0,0,0,0,1,49,85,18,8,0,0,0
SHARLIN RADIOLOGY AS SOC,Medical,0,4,40,19,5,0,0,1,0,0,0,0,0,0,0,0
TRENTO ANESTHSIOLGY ASSOC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNION AVE. DENTAL CE NTER,Medical,0,0,0,0,0,0,1,1,0,6,0,2,0,0,0,0
GROUP DENTAL ASSOC. OF NUTLEY,Medical,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COASTAL SURGICAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GROUP DENTAL ASSOCS,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORTHOPEDICS ASSOCIAT ES OF C J,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOUNT SINAI MEDICAL CENTER,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UNITED MEDICAL CENTE R/BENITZ,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MONMOUTH MEDICAL IMAGING,Medical,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AMERICAN MEDICAL SUR GICAL INC,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALCOUR MEDICAL INC,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COASTAL ANESTHESIA ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WESTERN MEDICAL SERV ICE,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANESTHESIA GRP OF,Medical,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
NJR HEALTHCARE PC DR ALAN FAU,Medical,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0
ALLIED SURGICAL GROUP PA,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AN-MAR AMBULANCE,Medical,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAND SURGERY & REHAB ILTATION,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HOSPITAL OF THE UNIV ERSITY OF P,Medical,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
WASHINGTON MEDICAL,Medical,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TRI COUNTY ANESTHESI A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,7,12,11,0
PARTNERS HEALTHCARE,Medical,0,0,0,0,0,0,4,0,2,1,0,4,0,0,1,0
WOODHULL MEDICAL & M ENTAL HOS,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSAL MEDICAL,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N.J. VEIN & COSMETIC SURGERY C E,Medical,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
OXFORD HEALTHCARE IN C,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANESTHESIA CONSULTNT CEN JERSE Y,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL ORTHOPEDIC,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
ANESTH MED GROUP,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ESTERN ORTHOPEDIC AS SOCIATES,Medical,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUMC ANESTHESIA SERV ICES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EVERGREEN DENTAL P.A .,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
THE STAR DENTAL GROU P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EYE DIAGNOSTIC & SUR CTR,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANESTHESIA ASSOC. OF N J,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EMMAUS ANESTHESIA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TEANECK RADIOLOGY CE NTER LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJ HOSP. GROUP ANEST HESIA,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PACE ORTHOPEDICS AND SPORTS M D,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PGH ANESTHESIOLOGY G ROUP,Medical,18,5,8,1,0,0,0,0,1,0,0,0,0,0,0,0
N J AMBULATORY ANEST HESIA,Medical,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0
ADVANCED ORTHO HAND SURGERY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEDIATRIC SURGICAL A SSOC. PA,Medical,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MEADOWLANDS HOSPITAL MED CTR,Medical,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
MARSH RADIOLOGY PROF,Medical,0,22,30,3,0,0,0,0,0,0,0,0,0,0,0,0
CEDAR MEDICAL INTERN AL MEDICI N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRICAT RADIOLOGY,Medical,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,0
EATONTOWN MEDICAL AS SOC PA,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EASTERN ORTHOPEDIC A SSN,Medical,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
TRENTON ORTHOPEDIC G ROUP,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORAL MAXILLOFACIAL A SSOCIATES,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST JOSEPH'S HOSPITAL AND MEDI C,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH JERSEY DIAGNOS TIC CNTR,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VILLAGE FAM DENTAL,Medical,0,0,0,0,2,0,0,4,1,0,0,3,0,0,0,0
PENOPERATIVE SURGICA RE LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HUDSON RADIOLOGY CTR,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ST MICHALES MEDICAL CENTER,Medical,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL TRANS ASSOCI OF NJ,Medical,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ALLCARE MEDICAL & RE HAB,Medical,0,0,0,0,0,0,0,4,1,2,1,14,0,0,0,0
EASTERN DENTAL CENTE R OF OLD,Medical,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
ORTHOPEDIC HAND SPEC IALISTS,Medical,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"UNION AVE DENTAL CEN TER, P.A.",Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MORRIS IMAGING ASSO CIATES,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BRUNSWICK SURGICAL A MBULATORY,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UNION EASTERN DENTAL CENTER O F,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMERICAN SURGICAL CN WEST ORG,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARE MASS MEDICAL C NTR,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MONMOUTH MEDICAL ANE STHESIA,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HOS FOR JOINT DISEAS ES ORTHOP,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INTEGRATIVE MEDICAL CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIND-ATLANTIC SURGIC AL ASSOC.,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTHAMPTON HOSPITAL CORPORATI O,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDEPENDENT DIAGNOST IC SYS,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PAIN AND SURGERY AMB ULATORY C N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST PARKWAY AMBULAT ORY SURGE R,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ST. CLAIR'S HOSPITAL,Medical,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SOUTH JERSEY DIAGNOS TIC/GUTIE,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UNIVERSITY ANESTHES IA ASSOC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDOWLANDS ANESTHESI A ASSOC,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WARREN FAMILY DENTAL,Medical,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
THE CHICAGO MEDICAL GROUP,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SJ DIAGNOSTIC ASSIG/ NYDIA TOR R,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TRI-COUNTY ORTHOPAED IC ASSOC,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAGNOSTIC IMAGING/S HUBAYEVA,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OPTIMA MEDICAL REHAB,Medical,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
WESTCHESTER ANESTHES PC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU DIMENSIONS DENTAL CTR,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCED DENTAL CARE OF,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MUHLENBERG REGIONAL HOSPITAL,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NEUROSURGICAL CHATHA M,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BONEL MEDICAL EQUIPT,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRACHFELD MEDICAL AS SOCIATES,Medical,1,0,0,1,1,0,0,0,1,8,0,0,0,0,0,0
JERSEY ANESTHESIA & PAIN MANA G,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAGNOSTIC IMAGING/P ETERS,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OVERLOOK HOSPITAL EM PLYEES FC U,Misc Lender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTER FOR DENTAL AN D ORAL,Medical,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
ESSEX SURGICAL LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIRWAY MEDICAL SERV /FARREN,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMAZE MEDICAL SUPPLY INC,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RAHWAY ANESTHESIA,Medical,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CADBURY HEALTH CARE CENTER,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADVANCED SURGICAL AS SOC,Medical,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
MEDICAL ASSOC & CONS ULTANTS,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NW SURGICAL ASSOCAI TES,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RAHAWAY HOSPITAL,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TWIN RIVERS ANESTHES IA SERVIC E,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENTAL 10 PA,Medical,0,0,0,1,2,1,3,0,0,0,0,0,0,1,0,0
UNION COUNTY HEALTH CARE ASSO C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
RESTORATIOVE DENTAL GRP OF,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW JERSEY ANESTHISI A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LIBERTY ANESTHESIA M GMT,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FREEDOM MEDICAL SUPP LY/AYCOX,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GERIATRIC AND MEDICA L SERV,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SO JERSEY DENTAL LAB,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALISADES SURGICAL A SSOCIATES P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ASSOCIATES ORTHOPAED,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ST FRANCIS HOSPITAL,Medical,0,2,4,0,1,0,0,2,4,0,0,0,0,0,0,0
NJPR MEDICAL TRANSPO RTATION S E,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NEUROSURGICAL GROUP OF CHATHA,Medical,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HOLY NAME RADIOLOGIC AL ASSOC.,Medical,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH JERSEY DIAGNOS TIC/CORRE L,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMBOY ANESTHESIA ASS OC.,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CENTRAL JERSEY ORAL MAXILLOF,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ROUTE 10 DENTAL ASSO C,Medical,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ACCURCARE MEDICAL & PAIN MGT,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENT & FACIAL PLASTIC SURGERY C,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LD BRIDGE SAYREVILL E MEDICAL G,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEGUSSA NEY DENTAL,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NEW JERSEY ANESTHESI A BOFFARD,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FERGUSON DENTAL ASSO C.,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ATLANTIC MEDICAL IMAGING,Medical,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
HAMILTON PARK HEALTH CARE CEN,Medical,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
